Cluster size,Silhouette Score,Completeness Score,Homogeneity Score
2,0.543884861054,0.49703345095,0.200458044174
5,0.463591217627,0.392375963902,0.352070145725
10,0.404054685421,0.333181672959,0.420648911291
15,0.373869087907,0.301039426308,0.451988363433
20,0.364552458367,0.28531945201,0.476131798889
25,0.365031717141,0.271187136988,0.487261946785
30,0.375009026407,0.260147466266,0.491581351108
35,0.379865711454,0.253714273952,0.501382044716
40,0.400351596499,0.2455339085,0.505332711718
