iter,time,reward,steps,convergence
1,0.014785565000003942,-299.0,300.0,83.9103704589193
2,0.010266495999999847,-296.56,298.57,65.96189032537403
3,0.024306163000005654,-299.0,300.0,56.7978769655737
4,0.03435281800000212,-295.78,298.8,48.34260860149647
5,0.018291349000001844,-297.83,299.84,40.38884580377994
6,0.055223664999999755,-292.91,296.94,32.257309041317065
7,0.03163808200000062,-294.66,297.68,28.016377184306258
8,0.02993877299999781,-291.83,297.88,33.555691825199276
9,0.040227328999996814,-271.64,284.76,27.817734517868686
10,0.03505883199999715,-155.76,219.38,26.31575110640822
11,0.04161326300000212,-55.58,145.46,27.290946524623184
12,0.051004536000000655,42.97,59.03,22.05761196067666
13,0.04478379799999743,63.36,38.64,26.657419652773587
14,0.052856572999999685,61.13,40.87,26.634352471195808
15,0.05480080800000309,63.09,38.91,27.01864509835297
16,0.05530405799999727,62.01,39.99,21.305031376388722
17,0.06813422500000144,62.12,39.88,13.472185148546508
18,0.06234727400000395,63.6,38.4,12.266995955911183
19,0.08751412900000588,63.57,38.43,7.100520230801223
20,0.06632168800000215,63.05,38.95,4.570173456310577
21,0.06817369599999523,64.07,37.93,2.5622513539130836
22,0.07842087799999575,64.19,37.81,2.39289535671287
23,0.07659338699999552,63.5,38.5,1.374411145297337
24,0.10921800899999567,63.78,38.22,0.6728416793826852
25,0.12228746599999596,64.81,37.19,0.47370880171855845
26,0.10287280200000026,63.92,38.08,0.2797871460445265
27,0.09609003599999966,63.83,38.17,0.16943976547293005
28,0.09138868599999483,64.51,37.49,0.12356619617765574
29,0.10227241999999848,64.47,37.53,0.07343712426162341
30,0.09730543499999555,63.64,38.36,0.0422958087561085
31,0.10815549199999452,63.46,38.54,0.03130653227891855
32,0.1037003229999982,63.59,38.41,0.01952254371866502
33,0.11528116199999516,63.85,38.15,0.010957968070037793
34,0.11568071599999996,64.5,37.5,0.005757426620689898
35,0.11252414500000185,63.99,38.01,0.002972894923260583
36,0.1258935410000035,64.56,37.44,0.0027262992022656363
37,0.13621357099999898,63.81,38.19,0.0016379654956395484
38,0.12075362799999567,64.51,37.49,0.0008691408468379791
39,0.1350410619999991,63.62,38.38,0.00043897060838560265
40,0.13468631499999617,63.35,38.65,0.00021624055905533623
41,0.1322414289999969,63.74,38.26,0.0001049751378872088
42,0.13683444800000188,64.02,37.98,5.047477004893608e-05
43,0.15728879800000328,64.21,37.79,2.4102952657756305e-05
44,0.14807620900000273,63.22,38.78,1.1448310004880113e-05
45,0.1512628790000008,63.84,38.16,5.4136696547857355e-06
46,0.1458790010000044,63.65,38.35,2.550244069254859e-06
47,0.152900025000001,64.33,37.67,1.197267593511242e-06
48,0.17010751000000113,64.28,37.72,5.603428689937573e-07
49,0.1629373319999985,63.6,38.4,2.615026133412357e-07
50,0.1712495019999949,63.38,38.62,1.2171592800314102e-07
51,0.1730100799999974,62.98,39.02,5.651280332585884e-08
52,0.17741684199999952,64.22,37.78,2.6178547329891444e-08
53,0.18720669999999728,63.33,38.67,1.2100628055122797e-08
54,0.17780506500000115,63.9,38.1,5.582066364695493e-09
55,0.17493512600000116,64.59,37.41,2.570160972936719e-09
56,0.1773328319999976,64.72,37.28,1.1812986144832394e-09
57,0.1861974759999967,64.7,37.3,5.420517368293076e-10
58,0.19931824700000078,64.11,37.89,2.48334686148155e-10
59,0.20039678700000252,64.67,37.33,1.1360867802068242e-10
60,0.19612563500000135,64.79,37.21,5.189804141991772e-11
61,0.19950774200000154,64.25,37.75,2.3668178528168937e-11
62,0.20953355400000362,63.02,38.98,1.0800249583553523e-11
63,0.20428837299999714,64.94,37.06,4.902744876744691e-12
64,0.20249433299999708,64.52,37.48,2.2453150450019166e-12
65,0.21552868600000608,63.7,38.3,1.0089706847793423e-12
66,0.23142086000000006,64.36,37.64,4.547473508864641e-13
67,0.22517874700000107,64.17,37.83,1.9895196601282805e-13
68,0.22640050399999723,64.75,37.25,1.0658141036401503e-13
69,0.23220580200000995,64.39,37.61,4.263256414560601e-14
70,0.24250139900000534,64.08,37.92,2.1316282072803006e-14
71,0.23036458500000379,63.45,38.55,1.4210854715202004e-14
72,0.23805959300000268,64.24,37.76,0.0
73,0.2556815409999871,64.52,37.48,0.0
74,0.2510547760000037,64.31,37.69,0.0
75,0.2469769020000001,64.19,37.81,0.0
76,0.2515937400000041,64.38,37.62,0.0
77,0.25946726200000114,64.42,37.58,0.0
78,0.2593267169999933,64.02,37.98,0.0
79,0.26019770799999264,64.36,37.64,0.0
80,0.27582101299999806,64.36,37.64,0.0
81,0.2772010900000055,64.23,37.77,0.0
82,0.26784290700000213,64.3,37.7,0.0
83,0.274574899000001,63.36,38.64,0.0
84,0.28376476600000444,65.14,36.86,0.0
85,0.2742530510000023,64.28,37.72,0.0
86,0.29009719600000494,64.44,37.56,0.0
87,0.2947938310000069,64.73,37.27,0.0
88,0.28280660499999044,64.57,37.43,0.0
89,0.2911254750000012,64.33,37.67,0.0
90,0.3033176439999892,63.88,38.12,0.0
91,0.2982490179999928,63.17,38.83,0.0
92,0.3020446000000021,64.55,37.45,0.0
93,0.32945246599999223,64.27,37.73,0.0
94,0.2998969690000024,64.56,37.44,0.0
95,0.3131522629999921,64.32,37.68,0.0
96,0.3232322639999978,63.21,38.79,0.0
97,0.321019684999996,64.32,37.68,0.0
98,0.32014001999999664,63.29,38.71,0.0
99,0.33403693899998643,63.94,38.06,0.0
