iter,time,reward,steps,convergence
1,0.424358014,-299.0,300.0,81.8260221687113
2,0.07285292599999993,-299.0,300.0,26.890718332385134
3,0.09894863600000026,-291.24,296.28,16.561362981298632
4,0.026338899999999832,-296.08,299.1,4.513479241428976
5,0.03342918199999989,-280.11,292.22,2.8195648875076493
6,0.0327042500000001,-264.5,280.65,1.0846664040376963
7,0.03806351399999919,-254.02,279.26,0.47988070306026315
8,0.07390314999999958,-220.94,256.28,0.3051846333515571
9,0.042923740000000876,-240.65,266.9,0.18893112118491384
10,0.0403792739999993,-235.49,265.78,0.11592299321589694
11,0.07165577499999998,-227.6,257.89,0.05456534892426479
12,0.1238148170000013,-202.45,245.87,0.02670601691611818
13,0.067948813000001,-165.12,215.61,0.016312097338023523
14,0.06507795500000135,-104.97,182.73,0.009329251799220728
15,0.09608004500000078,-107.49,183.23,0.004951792738351113
16,0.07531601400000021,-71.99,156.82,0.0033581205834276595
17,0.09071031200000057,-27.59,122.52,0.002272778318713531
18,0.09863111800000013,-5.12,105.1,0.0014997149274709187
19,0.0852337960000007,55.16,46.84,0.0008149142866549219
20,0.13818492999999776,64.27,37.73,0.0005333896680523864
21,0.22729955299999816,64.21,37.79,0.00032785231336251996
22,0.22795052700000085,64.23,37.77,0.0001278918446545596
23,0.0945875160000007,64.55,37.45,1.8633202009787908e-05
24,0.13168557400000225,64.39,37.61,2.934686380129392e-06
25,0.15318497899999883,64.25,37.75,4.665669197656541e-07
26,0.10489816900000193,63.86,38.14,7.010927349782037e-08
27,0.09127634900000103,64.16,37.84,9.768418074429519e-09
28,0.10591387699999899,64.86,37.14,1.4698922079503518e-09
29,0.10076878899999997,64.01,37.99,3.916698076977809e-10
30,0.15523917100000162,63.44,38.56,1.8060797302155152e-10
31,0.24737004500000026,64.35,37.65,6.772093996687545e-11
32,0.160067355999999,63.87,38.13,2.23390195230877e-11
33,0.26410457000000065,64.48,37.52,6.885603198725221e-12
34,0.11398100099999908,63.17,38.83,2.0334844919034367e-12
35,0.1526666789999993,64.23,37.77,5.835332217429823e-13
36,0.137965733999998,65.08,36.92,1.6342482922482304e-13
37,0.1922013449999973,63.77,38.23,4.4853010194856324e-14
38,0.1492903260000027,64.02,37.98,1.2434497875801753e-14
39,0.1907787550000002,63.99,38.01,3.1086244689504383e-15
40,0.17057578300000031,63.59,38.41,8.881784197001252e-16
41,0.19712374399999888,64.65,37.35,8.881784197001252e-16
42,0.196376953999998,64.07,37.93,4.440892098500626e-16
43,0.14053522699999732,65.04,36.96,4.440892098500626e-16
44,0.44934752300000014,63.63,38.37,0.0
45,0.3935251679999965,63.84,38.16,0.0
46,0.5936450700000009,63.98,38.02,0.0
47,0.2647944140000007,63.96,38.04,0.0
48,0.5052981939999981,63.91,38.09,0.0
49,0.7674751679999972,63.78,38.22,0.0
50,0.29817905000000167,64.6,37.4,0.0
51,0.27075217300000176,64.11,37.89,0.0
52,1.0393217620000001,64.29,37.71,0.0
53,1.4141514909999984,64.55,37.45,0.0
54,0.8779149460000006,64.06,37.94,0.0
55,1.1924692890000017,63.76,38.24,0.0
56,0.8024720250000001,63.45,38.55,0.0
57,0.36538188600000154,64.47,37.53,0.0
58,0.5792421050000058,63.41,38.59,0.0
59,0.6259685690000012,64.04,37.96,0.0
60,0.4928582009999971,63.99,38.01,0.0
61,0.3665691239999944,63.96,38.04,0.0
62,0.29657029399999857,64.18,37.82,0.0
63,0.4952488300000013,63.78,38.22,0.0
64,0.3785763169999967,63.44,38.56,0.0
65,0.3761117399999989,64.38,37.62,0.0
66,0.6437697639999982,64.42,37.58,0.0
67,0.245144959000001,63.58,38.42,0.0
68,0.40755028299999907,64.25,37.75,0.0
69,0.31614844500000316,64.27,37.73,0.0
70,0.3793052199999991,64.46,37.54,0.0
71,0.4091898810000032,63.9,38.1,0.0
72,0.5334862509999994,63.49,38.51,0.0
73,0.29549720100000343,62.69,39.31,0.0
74,0.3382795360000017,64.11,37.89,0.0
75,0.2795367160000026,63.66,38.34,0.0
76,0.3322867129999949,63.63,38.37,0.0
77,0.3684946549999992,63.55,38.45,0.0
78,0.3324266030000018,64.14,37.86,0.0
79,0.31191889600000167,64.5,37.5,0.0
80,0.2420682089999957,64.1,37.9,0.0
81,0.37658103200000426,63.3,38.7,0.0
82,0.3569401389999953,63.57,38.43,0.0
83,0.3220633339999992,64.77,37.23,0.0
84,0.4635439380000008,64.04,37.96,0.0
85,0.32754495999999733,63.51,38.49,0.0
86,0.3479353160000045,64.43,37.57,0.0
87,0.3263099749999938,63.65,38.35,0.0
88,0.4094990420000002,63.63,38.37,0.0
89,0.35510490400000094,63.13,38.87,0.0
90,0.3479675950000001,63.83,38.17,0.0
91,0.3545408920000028,63.27,38.73,0.0
92,0.3417879450000001,63.79,38.21,0.0
93,0.32729897499999794,64.06,37.94,0.0
94,0.2879931179999957,63.88,38.12,0.0
95,0.3060619849999995,63.54,38.46,0.0
96,1.470922170999998,63.81,38.19,0.0
97,0.43855620100000436,64.99,37.01,0.0
98,0.43272103799999684,64.84,37.16,0.0
99,0.45024963299999854,64.12,37.88,0.0
100,0.32905805699999746,64.53,37.47,0.0
101,0.3666515110000006,64.39,37.61,0.0
102,0.34294355499999796,64.87,37.13,0.0
103,0.33799688100000225,64.23,37.77,0.0
104,0.3454705930000017,63.73,38.27,0.0
105,0.3246730310000032,63.35,38.65,0.0
106,0.40576237700000206,63.8,38.2,0.0
107,0.4448240390000038,63.25,38.75,0.0
108,0.6572912850000066,64.1,37.9,0.0
109,0.6414201919999982,64.45,37.55,0.0
110,0.7572460860000021,64.06,37.94,0.0
111,0.5704601870000019,64.1,37.9,0.0
112,0.49112931300000184,64.07,37.93,0.0
113,0.4870354359999993,63.49,38.51,0.0
114,0.5206637860000001,64.42,37.58,0.0
115,0.4970078520000101,64.62,37.38,0.0
116,0.5260382760000084,64.41,37.59,0.0
117,0.5184975700000081,64.4,37.6,0.0
118,0.6632018490000036,63.3,38.7,0.0
119,0.927687358,64.02,37.98,0.0
120,0.8217146200000087,64.48,37.52,0.0
121,1.0266264839999906,64.19,37.81,0.0
122,0.6682259709999983,63.58,38.42,0.0
123,0.6070249200000006,64.51,37.49,0.0
124,0.6216277460000015,63.79,38.21,0.0
125,0.5721238400000033,63.06,38.94,0.0
126,0.7323420600000077,63.85,38.15,0.0
127,0.9122813689999987,64.08,37.92,0.0
128,0.7980516150000057,64.17,37.83,0.0
129,0.6531555469999972,64.57,37.43,0.0
130,0.7818402369999973,63.81,38.19,0.0
131,0.8243141829999985,63.97,38.03,0.0
132,0.7116930220000057,64.44,37.56,0.0
133,0.7443635340000014,63.92,38.08,0.0
134,0.6810725529999928,64.34,37.66,0.0
135,0.8497531989999914,64.83,37.17,0.0
136,0.8845222489999998,63.4,38.6,0.0
137,0.8297056570000052,64.13,37.87,0.0
138,0.8017288029999889,63.59,38.41,0.0
139,0.6380519270000065,63.24,38.76,0.0
140,0.689433453999996,63.34,38.66,0.0
141,0.7385352310000002,64.03,37.97,0.0
142,0.8663362899999925,63.18,38.82,0.0
143,0.82583454600001,63.33,38.67,0.0
