iter,time,reward,steps,convergence
1,0.106478824,-294.85,297.87,84.1102427380489
2,0.011156473999999972,-299.0,300.0,58.59518602887787
3,0.019473977999999947,-294.7,297.72,53.80387159284741
4,0.010155278999999906,-246.92,268.12,29.832285090059965
5,0.01824059400000011,-244.22,269.46,27.790015109392733
6,0.013757308999999829,-218.46,247.74,25.172510250267457
7,0.023389390999999815,-78.11,160.92,20.360939222855155
8,0.03477736399999998,62.5,39.5,18.267650361161405
9,0.021976228999999847,62.36,39.64,14.603488914329642
10,0.02109800999999978,61.83,40.17,13.69469194794576
11,0.02600242900000005,62.74,39.26,11.73007968702857
12,0.024807040000000224,61.5,40.5,10.538121820163289
13,0.027106465000000135,62.28,39.72,9.15392419398837
14,0.06643298899999994,63.04,38.96,8.942725677796036
15,0.07435298199999973,63.53,38.47,7.766470059595118
16,0.032019270000000155,63.12,38.88,6.0962170236648205
17,0.037631587999999994,64.55,37.45,4.433507664031261
18,0.036140118000000054,64.01,37.99,3.0387172517524945
19,0.03497680699999961,62.38,39.62,1.9896614331731968
20,0.04347595599999998,64.69,37.31,1.2669517779358443
21,0.03817189500000007,63.41,38.59,0.8325144255210901
22,0.04426847999999994,63.04,38.96,0.5547124921853879
23,0.046212946000000255,63.8,38.2,0.36382364405429257
24,0.050328700000000115,63.75,38.25,0.23113268340388515
25,0.049299840999999844,62.79,39.21,0.14217497324496264
26,0.052628172999999556,64.31,37.69,0.08705065333007411
27,0.050991754,64.04,37.96,0.05701161642414121
28,0.0571902660000001,64.72,37.28,0.037820818259731936
29,0.057634632000000074,64.09,37.91,0.024023959009902285
30,0.054761758000000604,63.92,38.08,0.014514832617678053
31,0.06010219000000028,64.02,37.98,0.00838664910488518
32,0.058188479000000015,63.71,38.29,0.004668795881578092
33,0.0582899139999995,64.86,37.14,0.002551107812024611
34,0.06509374599999962,64.32,37.68,0.002350469818409806
35,0.06056435799999971,63.79,38.21,0.0014679901246807958
36,0.06283105199999994,63.97,38.03,0.0008172730350040069
37,0.06554435800000036,64.23,37.77,0.0004329215483735993
38,0.07598743099999972,63.72,38.28,0.0002228548270011288
39,0.07325479499999954,64.47,37.53,0.00011251065789252834
40,0.0709871230000001,64.38,37.62,5.598077147794811e-05
41,0.07728614599999961,64.43,37.57,2.7533134407065063e-05
42,0.07136833599999992,63.07,38.93,1.3413051497934703e-05
43,0.08623999900000001,63.83,38.17,6.481866570595685e-06
44,0.07576592699999996,64.74,37.26,3.110766812142174e-06
45,0.09143173500000046,63.88,38.12,1.4839556001788878e-06
46,0.08355336199999996,64.86,37.14,7.041698424359311e-07
47,0.09925806000000037,63.84,38.16,3.3258183407269826e-07
48,0.08558580399999993,63.65,38.35,1.5642388717651556e-07
49,0.09338125200000036,64.08,37.92,7.329536799716152e-08
50,0.08566896499999999,63.66,38.34,3.422768202199222e-08
51,0.09390117799999942,64.55,37.45,1.593468113014751e-08
52,0.08854641999999924,64.52,37.48,7.397623846827628e-09
53,0.10234377100000014,64.87,37.13,3.425540739954158e-09
54,0.09216009799999991,63.93,38.07,1.58250657023018e-09
55,0.10641285900000064,64.52,37.48,7.294929105228221e-10
56,0.09713419600000073,64.3,37.7,3.356177558089257e-10
57,0.09590053499999929,64.81,37.19,1.5411671938636573e-10
58,0.09941470399999996,64.91,37.09,7.065636964398436e-11
59,0.09974332500000038,64.1,37.9,3.232969447708456e-11
60,0.11237167599999953,63.38,38.62,1.4786394331167685e-11
61,0.10697712199999998,64.12,37.88,6.743050562363351e-12
62,0.1213734259999999,64.21,37.79,3.069544618483633e-12
63,0.11543097899999921,62.86,39.14,1.3713474800169934e-12
64,0.11396376800000141,64.46,37.54,6.394884621840902e-13
65,0.1155037280000002,64.02,37.98,2.8421709430404007e-13
66,0.11118788699999982,63.62,38.38,1.2789769243681803e-13
67,0.12025766700000062,64.33,37.67,5.6843418860808015e-14
68,0.12277031600000043,63.63,38.37,3.552713678800501e-14
69,0.11777033800000147,63.46,38.54,1.4210854715202004e-14
70,0.12461332900000066,63.64,38.36,7.105427357601002e-15
71,0.13281313499999925,64.42,37.58,0.0
72,0.12120636200000057,63.9,38.1,0.0
73,0.12844157600000017,64.24,37.76,0.0
74,0.13337448900000126,64.48,37.52,0.0
75,0.13486531699999915,64.45,37.55,0.0
76,0.13393068700000121,63.43,38.57,0.0
77,0.13571247799999853,63.84,38.16,0.0
78,0.1317452069999998,63.52,38.48,0.0
79,0.13421247800000025,64.22,37.78,0.0
80,0.14320541400000053,63.49,38.51,0.0
81,0.15421357000000135,63.61,38.39,0.0
82,0.13817215999999988,63.82,38.18,0.0
83,0.13866352400000004,64.42,37.58,0.0
84,0.14625000899999918,64.05,37.95,0.0
85,0.16151324199999983,64.35,37.65,0.0
86,0.15670391599999967,63.88,38.12,0.0
87,0.15735937899999897,63.85,38.15,0.0
88,0.1643797280000001,63.98,38.02,0.0
89,0.15792007800000007,63.73,38.27,0.0
90,0.1594763229999998,63.35,38.65,0.0
91,0.16425412499999936,64.28,37.72,0.0
92,0.15854239300000117,64.7,37.3,0.0
93,0.16566318699999982,64.98,37.02,0.0
94,0.16691488899999918,63.35,38.65,0.0
95,0.16793014099999937,64.14,37.86,0.0
96,0.17153160400000012,64.19,37.81,0.0
97,0.17438457500000126,63.09,38.91,0.0
98,0.1696786019999994,64.73,37.27,0.0
99,0.19271619300000076,64.29,37.71,0.0
100,0.1787999849999995,64.78,37.22,0.0
101,0.1879624539999991,64.73,37.27,0.0
102,0.17637340399999957,63.8,38.2,0.0
103,0.17472464899999984,63.69,38.31,0.0
104,0.17538222199999964,64.36,37.64,0.0
105,0.1750248499999998,64.18,37.82,0.0
106,0.19374254699999938,63.91,38.09,0.0
107,0.185652257000001,63.93,38.07,0.0
108,0.19027729600000143,64.05,37.95,0.0
109,0.1915237310000002,64.01,37.99,0.0
110,0.20475379100000168,63.82,38.18,0.0
111,0.1905296409999977,64.33,37.67,0.0
112,0.19383685600000078,64.85,37.15,0.0
113,0.19921176100000082,63.36,38.64,0.0
114,0.20263367300000112,64.27,37.73,0.0
115,0.21075298300000256,63.97,38.03,0.0
116,0.2020950259999985,63.92,38.08,0.0
117,0.20371206299999756,63.87,38.13,0.0
118,0.20153128200000126,64.73,37.27,0.0
119,0.21914653600000022,63.73,38.27,0.0
120,0.21391586800000084,65.0,37.0,0.0
121,0.21249888599999878,63.71,38.29,0.0
122,0.20920215399999975,63.77,38.23,0.0
123,0.22720666699999725,64.45,37.55,0.0
124,0.2143041380000028,63.96,38.04,0.0
125,0.2197004650000025,64.25,37.75,0.0
126,0.217444823000001,63.77,38.23,0.0
127,0.23045640599999828,64.63,37.37,0.0
128,0.22346887599999832,64.78,37.22,0.0
129,0.22444985599999967,63.63,38.37,0.0
130,0.2260120009999973,64.69,37.31,0.0
131,0.23556937000000033,64.14,37.86,0.0
132,0.22644288500000087,64.33,37.67,0.0
133,0.23172265099999834,64.09,37.91,0.0
134,0.23100078500000265,64.43,37.57,0.0
135,0.2377556599999977,64.66,37.34,0.0
