iter,time,reward,steps,convergence
1,0.297471547,-293.18,297.21,81.26566809191397
2,0.026765004000000037,-297.67,299.68,19.33365217583372
3,0.02377106600000012,-299.0,300.0,10.074169339060363
4,0.03379253199999965,-292.76,296.79,2.1982141095028247
5,0.043859931000000074,-285.81,293.88,1.0845130144566568
6,0.10842977699999956,-286.4,294.47,0.37534932338993554
7,0.07758420099999963,-267.53,283.68,0.1158135159264515
8,0.1331661870000005,-262.32,283.52,0.062197050341570304
9,0.0689204409999995,-227.0,261.33,0.03306654767284689
10,0.05575844300000021,-230.31,261.61,0.017346911555656597
11,0.10387136299999966,-247.79,273.03,0.006414490887587387
12,0.0864782489999989,-221.57,255.9,0.0027186361813988924
13,0.06757787499999957,-232.88,260.14,0.0015720731581723157
14,0.0597648390000014,-214.32,249.66,0.0009080940871175613
15,0.14078273799999863,-116.07,188.78,0.000524035947187862
16,0.08639310499999908,-113.9,186.61,0.00030213068093454254
17,0.07709137700000035,-83.18,165.99,0.0001740438894617391
18,0.07455996500000062,-99.98,179.76,0.00010014737464469903
19,0.07898774999999958,-19.67,117.63,5.717191602672145e-05
20,0.1177487450000001,48.53,53.47,2.912002330823782e-05
21,0.08737454500000119,65.17,36.83,1.2799588352319091e-05
22,0.20686493899999903,62.76,39.24,6.734359281335145e-06
23,0.4008801240000004,64.98,37.02,3.2939484917449136e-06
24,0.2412393729999991,63.26,38.74,3.9231173287745946e-07
25,0.17262474099999991,64.67,37.33,5.072802666816756e-08
26,0.15504240499999966,63.64,38.36,6.86712375852494e-09
27,0.11758257199999989,63.67,38.33,9.60471258082407e-10
28,0.23441183099999918,63.42,38.58,1.3777334828546373e-10
29,0.17967047899999855,63.82,38.18,2.0163426484032243e-11
30,0.337248872,64.42,37.58,2.9976021664879227e-12
31,0.478318986999998,63.55,38.45,4.511946372076636e-13
32,0.24672567599999695,63.38,38.62,6.838973831690964e-14
33,0.42246371899999957,62.49,39.51,1.021405182655144e-14
34,0.22733729500000166,64.42,37.58,1.7763568394002505e-15
35,0.16962337100000013,63.5,38.5,4.440892098500626e-16
36,0.40680774199999803,64.49,37.51,0.0
37,0.21429654900000017,64.4,37.6,0.0
38,0.2163640089999994,63.77,38.23,0.0
39,0.26775499799999736,63.36,38.64,0.0
40,0.20882037299999823,63.79,38.21,0.0
41,0.24296356099999983,63.92,38.08,0.0
42,0.33225214100000144,64.24,37.76,0.0
43,0.3611942269999986,63.52,38.48,0.0
44,0.2384133679999998,63.72,38.28,0.0
45,0.36098691399999794,64.36,37.64,0.0
46,0.24207002099999997,63.81,38.19,0.0
47,0.3122317670000001,63.49,38.51,0.0
48,0.2503061990000006,64.77,37.23,0.0
49,0.3368557170000024,63.59,38.41,0.0
50,0.7056987049999996,64.02,37.98,0.0
51,1.039057157000002,64.03,37.97,0.0
52,0.8973044660000014,63.44,38.56,0.0
53,0.821346731999995,64.13,37.87,0.0
54,0.9144181630000006,63.71,38.29,0.0
55,1.0838482269999972,63.51,38.49,0.0
56,0.6390732469999989,64.47,37.53,0.0
57,0.8061166669999977,63.39,38.61,0.0
58,0.8700497960000035,64.84,37.16,0.0
59,0.7267246540000016,63.51,38.49,0.0
60,0.2984428139999977,64.67,37.33,0.0
61,0.28170186700000244,63.55,38.45,0.0
62,0.3416185789999986,65.15,36.85,0.0
63,0.3985483140000028,63.65,38.35,0.0
64,0.5014753410000026,63.56,38.44,0.0
65,0.3629918919999966,64.62,37.38,0.0
66,0.2967082959999985,64.36,37.64,0.0
67,0.3223068490000003,63.8,38.2,0.0
68,0.5990565449999963,64.95,37.05,0.0
69,0.5746883519999955,64.13,37.87,0.0
70,1.3251504609999998,64.39,37.61,0.0
71,0.8692250120000011,64.18,37.82,0.0
72,0.3140130720000016,64.5,37.5,0.0
73,0.47462436800000063,63.19,38.81,0.0
74,0.49390282800000307,64.13,37.87,0.0
75,1.120163482999999,63.49,38.51,0.0
76,0.6401164890000004,64.02,37.98,0.0
77,0.43881444200000175,63.51,38.49,0.0
78,0.4175114920000027,63.9,38.1,0.0
79,0.45725374900000304,64.81,37.19,0.0
80,0.44372586200000086,63.77,38.23,0.0
81,0.3701962460000061,63.82,38.18,0.0
82,0.41785198799999534,63.47,38.53,0.0
83,0.4018984240000023,63.98,38.02,0.0
84,0.5056429460000018,64.86,37.14,0.0
