iter,time,reward,steps,convergence
1,0.038602480000008654,-299.0,300.0,81.7788584381897
2,0.018813905000001796,-299.0,300.0,43.662780467010926
3,0.03516317000000413,-299.0,300.0,16.178682791936183
4,0.04447242300000198,-299.0,300.0,9.679604948465418
5,0.04039614699999561,-297.55,299.56,5.6580888631246795
6,0.057426559000020916,-294.56,298.59,2.0999474647566387
7,0.04587207899999157,-296.34,299.36,1.2743400894665455
8,0.06195443900000441,-281.79,290.87,0.7928375250007775
9,0.07231983500000183,-286.91,293.97,0.3118599267186164
10,0.13829118600000356,-275.88,285.97,0.19227086095869494
11,0.08140681000000427,-274.08,285.18,0.11902689767152363
12,0.08531197199999951,-206.94,241.27,0.057179386501285734
13,0.11046082400000046,-120.71,190.39,0.04139184568273668
14,0.0999630560000071,-50.03,140.92,0.024941096940982455
15,0.19210272600000167,-26.87,122.81,0.01508323472086559
16,0.11447130000001948,-8.14,107.11,0.009151511782115485
17,0.12535405600002036,48.28,53.72,0.004504237938393718
18,0.15237533999999187,64.48,37.52,0.002404513491225835
19,0.1296129690000214,63.9,38.1,0.000485023214033653
20,0.13584364400000482,64.34,37.66,0.00023176545926339998
21,0.15564375599998925,64.31,37.69,8.329864950562538e-05
22,0.33999564300000884,63.25,38.75,2.373703635250024e-05
23,0.30152514600001723,63.55,38.45,7.195055129916028e-06
24,0.33013430299999413,63.64,38.36,2.6095868594921967e-06
25,0.3643112649999978,64.01,37.99,7.729949103030265e-07
26,0.26240166900001327,62.94,39.06,2.094457931534066e-07
27,0.23879211900000996,64.12,37.88,5.474835162999625e-08
28,0.20236880699999915,64.08,37.92,1.8569679571811548e-08
29,0.25779916499999445,63.89,38.11,5.9895173265545054e-09
30,0.3368475180000132,64.69,37.31,1.8542865021231592e-09
31,0.3267726489999916,64.55,37.45,5.5543214472209e-10
32,0.365905822000002,64.58,37.42,1.6198775654174824e-10
33,0.4262894459999984,64.94,37.06,4.621902860435512e-11
34,0.27155225300001007,63.63,38.37,1.2948753180808126e-11
35,0.24043606099999693,63.6,38.4,3.5726976932437537e-12
36,0.2845434850000004,63.01,38.99,9.729994587814872e-13
37,0.3041935629999841,64.55,37.45,2.6201263381153694e-13
38,0.268232012999988,64.57,37.43,6.972200594645983e-14
39,0.2669452339999907,63.92,38.08,1.7763568394002505e-14
40,0.31119273499999167,63.22,38.78,5.329070518200751e-15
41,0.3203278780000005,63.95,38.05,1.3322676295501878e-15
42,0.29888730899997995,64.38,37.62,8.881784197001252e-16
43,0.3248237169999868,65.03,36.97,4.440892098500626e-16
44,0.29796875299999215,63.34,38.66,4.440892098500626e-16
45,0.337012690000023,63.5,38.5,0.0
46,0.33053771600000914,64.3,37.7,0.0
47,0.373584534999992,64.17,37.83,0.0
48,0.3836810610000043,63.7,38.3,0.0
49,0.33751387399999544,64.12,37.88,0.0
50,0.38313879300000053,64.19,37.81,0.0
51,0.3604946400000131,64.28,37.72,0.0
52,0.3939256980000039,64.07,37.93,0.0
53,0.3837588949999997,64.37,37.63,0.0
54,0.48393170100001726,64.15,37.85,0.0
55,0.38611182399998256,63.72,38.28,0.0
56,0.438635306000009,63.67,38.33,0.0
57,0.4256317079999974,64.23,37.77,0.0
58,0.4634038359999977,63.56,38.44,0.0
59,0.4333583650000037,64.58,37.42,0.0
60,0.5032136849999915,64.18,37.82,0.0
61,0.4466181909999989,63.59,38.41,0.0
62,0.5066216159999897,65.14,36.86,0.0
63,0.5037114330000065,64.01,37.99,0.0
64,0.5133399439999948,63.38,38.62,0.0
65,0.5033705410000096,63.78,38.22,0.0
66,0.8676264929999888,63.57,38.43,0.0
67,0.878420976000001,63.64,38.36,0.0
68,0.8778910059999987,64.47,37.53,0.0
69,0.6301916529999971,64.0,38.0,0.0
70,0.6433054729999981,64.45,37.55,0.0
71,0.5655474550000008,63.89,38.11,0.0
72,0.6516090869999971,64.21,37.79,0.0
73,0.6079356939999911,64.52,37.48,0.0
74,0.6020974070000022,65.01,36.99,0.0
75,0.5790104000000156,64.09,37.91,0.0
76,0.6148202159999983,64.23,37.77,0.0
77,0.6552609340000117,63.81,38.19,0.0
78,0.5403198079999925,63.86,38.14,0.0
79,0.6162927050000064,64.13,37.87,0.0
80,0.576865798,63.59,38.41,0.0
81,0.5866499459999943,63.15,38.85,0.0
82,0.7913679189999812,63.71,38.29,0.0
83,0.8452052500000207,64.55,37.45,0.0
84,0.8646304859999816,63.98,38.02,0.0
85,0.9286743170000022,63.9,38.1,0.0
86,1.0227851779999924,63.66,38.34,0.0
87,0.7263583170000061,64.13,37.87,0.0
88,0.6403776169999844,63.8,38.2,0.0
89,0.6133613420000188,64.28,37.72,0.0
90,0.673473505000004,64.59,37.41,0.0
91,1.2007405880000022,65.1,36.9,0.0
92,1.1013498279999965,63.8,38.2,0.0
93,1.510166996999999,63.19,38.81,0.0
94,1.578705106000001,62.99,39.01,0.0
95,1.8406610549999982,63.83,38.17,0.0
96,1.8452239420000183,63.46,38.54,0.0
97,0.7570098509999923,63.05,38.95,0.0
98,0.7808722000000046,63.63,38.37,0.0
99,0.9477461529999971,63.88,38.12,0.0
100,0.8765819030000159,63.86,38.14,0.0
101,0.9844577980000224,64.65,37.35,0.0
102,1.2683092200000203,63.94,38.06,0.0
103,0.9058146059999785,63.81,38.19,0.0
104,0.7889030219999995,63.88,38.12,0.0
105,0.7893598359999885,64.21,37.79,0.0
106,0.7323158990000138,64.77,37.23,0.0
107,1.0559844390000137,64.0,38.0,0.0
108,1.096091174999998,64.49,37.51,0.0
109,1.0443101110000157,64.11,37.89,0.0
110,0.8768506990000446,64.03,37.97,0.0
111,0.6497530550000192,64.44,37.56,0.0
112,1.0831010030000243,63.53,38.47,0.0
113,2.430282506000026,64.72,37.28,0.0
114,1.8864452389999542,64.7,37.3,0.0
115,1.0556165980000287,65.0,37.0,0.0
116,0.9365491049999832,65.42,36.58,0.0
117,0.7547822520000409,64.23,37.77,0.0
118,0.7759413169999902,64.29,37.71,0.0
119,0.9222831749999614,63.23,38.77,0.0
120,0.8377656309999679,64.42,37.58,0.0
121,0.7994415150000123,63.51,38.49,0.0
122,0.9781516310000029,64.01,37.99,0.0
123,0.9803117289999932,64.38,37.62,0.0
124,0.844202499000005,63.93,38.07,0.0
125,0.9461971719999838,63.53,38.47,0.0
126,1.0158035900000186,64.36,37.64,0.0
127,0.9315791829999966,63.2,38.8,0.0
128,0.7986712809999972,63.89,38.11,0.0
129,0.7690580220000243,65.04,36.96,0.0
130,0.6687234660000172,63.38,38.62,0.0
131,0.7170510369999761,63.74,38.26,0.0
132,0.9856803380000088,64.26,37.74,0.0
133,0.7721966189999989,64.16,37.84,0.0
134,0.7489595019999911,63.59,38.41,0.0
135,0.7414177129999757,63.68,38.32,0.0
136,0.7685545589999947,64.12,37.88,0.0
137,0.7623658109999951,62.8,39.2,0.0
138,0.8306074010000088,64.17,37.83,0.0
139,0.7794629609999788,64.46,37.54,0.0
140,0.7541494390000025,65.22,36.78,0.0
141,0.7471301090000111,63.95,38.05,0.0
142,0.9334836190000146,64.35,37.65,0.0
143,0.9187464960000398,64.7,37.3,0.0
144,1.0442443599999933,63.91,38.09,0.0
145,0.8789958239999578,64.4,37.6,0.0
146,0.8926623840000047,63.71,38.29,0.0
147,0.9191487520000123,63.42,38.58,0.0
148,0.9699819119999802,64.51,37.49,0.0
149,1.21757906900001,65.14,36.86,0.0
150,2.4272017440000013,65.0,37.0,0.0
151,1.0908444400000121,64.04,37.96,0.0
152,1.0764965799999686,64.36,37.64,0.0
153,1.8447618960000227,63.89,38.11,0.0
154,1.3388470830000188,64.47,37.53,0.0
155,0.9890205820000233,63.18,38.82,0.0
156,1.0949879739999915,63.95,38.05,0.0
157,1.3846309209999959,63.89,38.11,0.0
158,1.4725453770000172,64.57,37.43,0.0
159,1.0636436380000305,64.28,37.72,0.0
160,1.1819475570000009,63.98,38.02,0.0
161,1.1851990530000194,63.89,38.11,0.0
162,1.3178005299999995,64.96,37.04,0.0
163,1.20660669800003,63.61,38.39,0.0
164,1.1867341580000357,64.15,37.85,0.0
165,1.0434219750000011,64.5,37.5,0.0
166,1.0511556839999798,63.77,38.23,0.0
167,1.0617563920000066,64.5,37.5,0.0
168,1.027981488000023,64.78,37.22,0.0
169,1.1958520410000233,64.46,37.54,0.0
170,4.234906549999948,64.02,37.98,0.0
171,4.129361883999991,63.32,38.68,0.0
172,2.0233934649999696,63.85,38.15,0.0
173,1.3071479710000062,64.02,37.98,0.0
174,1.281867535999993,63.61,38.39,0.0
175,1.2589588729999832,63.22,38.78,0.0
176,1.1374722880000263,63.06,38.94,0.0
177,1.2679021639999632,63.55,38.45,0.0
178,1.1980273580000471,63.31,38.69,0.0
179,1.2512975030000462,63.11,38.89,0.0
180,1.6431540620000078,64.48,37.52,0.0
181,2.0921272589999944,64.34,37.66,0.0
182,1.5311823899999695,63.83,38.17,0.0
183,1.239733215000001,64.02,37.98,0.0
184,1.4708577390000528,63.51,38.49,0.0
185,1.4158332480000126,64.24,37.76,0.0
186,1.2949051319999967,64.64,37.36,0.0
187,1.3791038429999958,64.38,37.62,0.0
188,1.5287053320000155,63.74,38.26,0.0
189,1.371621647999973,64.15,37.85,0.0
190,1.4351617780000083,63.92,38.08,0.0
191,1.305878372000052,63.39,38.61,0.0
192,1.4225303119999921,64.37,37.63,0.0
193,1.3842271550000191,62.49,39.51,0.0
194,1.2168074530000013,63.78,38.22,0.0
195,1.267934275000016,63.56,38.44,0.0
196,1.0685689659999866,64.13,37.87,0.0
197,1.2262545369999884,63.87,38.13,0.0
198,1.4381852430000208,63.98,38.02,0.0
199,1.5248166160000096,64.01,37.99,0.0
200,1.1460692109999968,63.3,38.7,0.0
