2,2.95939533406
3,2.40488206898
4,2.7111855409
5,4.79553739204
6,5.10251590187
7,9.28784772293
8,8.4053181069
9,9.83511573838
10,9.2997204787
11,11.8005767373
12,11.0598355941
13,10.5581432275
14,10.0867287559
15,10.6718150677
16,10.1318473836
17,9.75554029178
18,9.50837268667
19,9.35224769854
20,8.96360075103
21,9.71012250343
22,9.559072959
23,9.20765961187
24,8.88632171538
25,8.57301037183
26,8.25227981269
27,8.06668450358
28,7.92172555203
29,7.75943999709
30,7.52297109354
31,7.37416244937
32,7.27459196743
33,7.07256184329
34,6.89544031912
35,6.73450598783
