Cluster size,Silhouette Score,Completeness Score,Homogeneity Score
2,0.153478402112,0.634651611885,0.202115177691
5,0.0297992907735,0.629994327197,0.505527437344
10,-0.0341707800959,0.529933561414,0.651603541094
15,-0.0314477188304,0.481047488283,0.664350496892
20,-0.0206118729321,0.45542264673,0.675061931575
25,-0.0250467591316,0.410246342411,0.677872687081
30,-0.0275844622807,0.358904433264,0.652512907296
35,-0.0135732378179,0.347005514535,0.648691225586
40,-0.0069421072842,0.348076949805,0.666562311925
