Cluster size,Silhouette Score,Completeness Score,Homogeneity Score
2,0.310845952437,0.640360386891,0.206929805534
5,0.0867059401419,0.628991942834,0.507105654833
10,0.0883095504495,0.525978299914,0.655221959127
15,0.0537374254576,0.466029750249,0.685240121121
20,0.0593480970812,0.458690594428,0.730185678307
25,0.0447698351237,0.424263352055,0.690240670305
30,0.0450892198962,0.414719534767,0.715414135332
35,0.0451890134476,0.400902149728,0.720661910325
40,0.041794858304,0.385844012261,0.737865552856
