Cluster size,Silhouette Score,Completeness Score,Homogeneity Score
2,0.257099646785,0.63956612021,0.198875840879
5,0.0221277910732,0.603764817949,0.505169235901
10,0.131086568822,0.512030266235,0.651949620841
15,0.0871721307801,0.478504104445,0.701831053548
20,0.064393397772,0.435491206807,0.713682896958
25,0.046165942655,0.420032992001,0.724528772784
30,0.0583226569305,0.409189743113,0.744431338127
35,0.0318767784844,0.394088652315,0.749597635537
40,0.0489722716946,0.386394791323,0.759368364467
