Cluster size,Silhouette Score,Completeness Score,Homogeneity Score
2,0.834417240435,0.110849992536,0.0204957284234
5,0.825085640187,0.0783816405251,0.0301855914686
10,0.636768833625,0.0741692938565,0.078337833669
15,0.578820032931,0.076704222477,0.136302593666
20,0.448348369885,0.0702136153047,0.173247971977
25,0.457587896279,0.0694372275359,0.176877970521
30,0.391383040561,0.068356122255,0.193247303246
35,0.341468599237,0.0674921921838,0.234530212486
40,0.35205603366,0.0633536576231,0.237405318806
