,0,1,2
2,8589.46057885,8589.4779394,7398.92791531
3,8588.00805126,8589.46347891,7399.69269636
4,8587.92993919,8589.44306727,7312.71648319
5,8586.24774803,8589.42445599,7466.8595481
6,8426.38851653,8589.42441253,7379.89490166
7,8425.92452117,8589.41579963,7381.35136376
8,8430.34879224,8589.41135758,6850.80894585
9,8429.90879502,8419.9060114,6261.45020366
10,8429.84205806,8435.04037447,6046.38028546
11,8425.44840862,8420.5558055,6298.37764514
12,7558.83816099,8429.21591248,5113.0679213
13,7522.82082319,8433.54667542,4701.67356594
14,7526.7011743,8329.08281607,5210.3978166
15,7357.92458431,8313.3568124,4614.32669613
16,7494.1558237,8281.20202567,5351.24252834
17,7239.55320977,8313.43512529,4374.79349452
18,7204.0802173,8197.68611302,4794.89472236
19,7371.31666431,8299.56883205,4458.95617431
20,7181.13579947,8255.93947534,4241.57356445
21,7113.13648016,8162.25566942,4457.65211497
22,7390.0280508,8275.31331332,3901.02581317
23,6097.15267906,6960.00617164,4667.97537875
24,5885.5350557,6859.92317568,2936.6949309
25,3931.58558234,6656.15235228,3381.10286823
26,4313.22342724,5997.55449361,4068.45505428
27,4134.58498565,4675.31045748,4331.05387722
28,3709.4650577,4987.67090668,2700.14161038
29,4452.97793816,4232.62255214,2903.29900121
30,3143.08722895,5471.08218573,2261.02536825
31,3563.40972513,3043.78566673,2705.06155201
32,2668.84710151,3959.37615156,2579.19497793
33,2834.25928092,3996.22089085,2435.17898191
34,2547.82431668,4117.1491674,2013.21295022
35,3010.35206886,3962.85743154,1317.66953574
36,2882.82770788,3257.19948325,2089.49716023
37,2692.89015912,3836.07057617,1008.12653279
38,2114.5884972,2897.49250283,2384.85554367
39,2458.65017578,2281.87259828,2440.95616178
40,2094.29720473,3214.33149972,2147.95395147
41,1731.03273478,3745.11379807,1911.569103
42,2137.52387379,1954.32366114,1430.99106704
43,1117.4496976,3760.824005,2123.88731801
44,1327.93334158,2323.21056749,2270.38543583
45,1551.829404,2004.17047272,1440.40103555
46,1370.85832911,2340.41335913,1450.12161229
47,952.876280102,547.526230549,455.493293354
48,741.25622582,1955.66684851,614.183429708
49,626.843158607,913.836317975,437.624877587
50,797.911260635,841.56932697,376.802067324
51,569.692980185,434.963426999,1038.26841163
52,953.853675006,273.439425591,505.391676714
53,476.364580392,354.847361193,186.147246794
54,471.140038982,181.65542265,43.1252082389
55,55.8350604213,31.6112964228,44.0153199759
56,180.847341103,28.4262023697,47.3611079417
