Cluster size,Silhouette Score,Completeness Score,Homogeneity Score
2,0.589147226557,0.126466712442,0.125240877877
5,0.730901971383,0.0901984711,0.12953475881
10,0.776648038304,0.0702388402388,0.131277595617
15,0.811411511496,0.0594814951684,0.133190222257
20,0.815746012617,0.0576211216865,0.135460795944
25,0.815277189695,0.0554733701632,0.137195242569
30,0.809923463628,0.0536492078038,0.138407096236
35,0.817231744581,0.0514447742547,0.139372581259
40,0.814164942373,0.0507475344491,0.139634888784
